,전용면적(㎡),계약일,거래금액(만원),층,건축년도,구,동,평,계약년,계약월,한강,건물나이,재건축,단지명
0,4.366278278,1,11.09742517,2.197224577,1988,24,293,3.284663565,2012,5,0,24,0,개포2차현대아파트(220)
2,4.658047226,13,11.3504183,2.397895273,1984,24,293,3.569532696,2012,4,0,28,0,개포우성3차
3,4.907494535,8,11.69108002,2.944438979,2004,24,293,3.813307032,2012,5,0,8,0,개포자이(12-2)
4,3.939248992,9,11.25804612,1.791759469,1982,24,293,2.867898902,2012,1,0,30,0.6931471806,개포주공1단지
5,3.773909703,9,11.11989769,1.791759469,1982,24,293,2.708050201,2012,1,0,30,0.6931471806,개포주공1단지
7,3.760734891,13,11.12727769,2.302585093,1982,24,293,2.701361213,2012,1,0,30,0.6931471806,개포주공1단지
8,4.000583182,14,11.39640288,2.302585093,1982,24,293,2.928523524,2012,1,0,30,0.6931471806,개포주공1단지
10,4.078892458,26,11.40757606,2.302585093,1982,24,293,3.005682604,2012,1,0,30,0.6931471806,개포주공1단지
11,3.944296566,31,11.28979441,1.945910149,1982,24,293,2.87356464,2012,1,0,30,0.6931471806,개포주공1단지
18,3.60114054,9,10.98530967,2.302585093,1982,24,293,2.549445171,2012,2,0,30,0.6931471806,개포주공1단지
19,3.92316075,9,11.33261389,2.302585093,1982,24,293,2.856470206,2012,2,0,30,0.6931471806,개포주공1단지
26,4.053001599,24,11.42955473,1.791759469,1982,24,293,2.980618636,2012,2,0,30,0.6931471806,개포주공1단지
52,4.13628593,10,11.63692028,1.945910149,1982,24,293,3.058707073,2012,4,0,30,0.6931471806,개포주공1단지
54,3.595667072,12,10.91328684,2.197224577,1982,24,293,2.541601993,2012,4,0,30,0.6931471806,개포주공1단지
84,3.834277657,22,11.08215793,1.791759469,1982,24,293,2.766319109,2012,5,0,30,0.6931471806,개포주공1단지
108,3.607398212,17,10.98530967,1.791759469,1982,24,293,2.549445171,2012,1,0,30,0.6931471806,개포주공3단지
110,3.944877342,27,11.40757606,2.079441542,1982,24,293,2.87356464,2012,1,0,30,0.6931471806,개포주공3단지
117,3.760967531,3,11.12727769,1.945910149,1982,24,293,2.701361213,2012,3,0,30,0.6931471806,개포주공3단지
124,3.773909703,25,11.14187628,1.791759469,1982,24,293,2.708050201,2012,4,0,30,0.6931471806,개포주공3단지
133,3.944877342,3,11.30221678,2.197224577,1982,24,293,2.87356464,2012,1,0,30,0.6931471806,개포주공4단지
134,3.607398212,9,10.89675784,2.302585093,1982,24,293,2.549445171,2012,1,0,30,0.6931471806,개포주공4단지
135,3.760967531,9,11.09742517,2.079441542,1982,24,293,2.701361213,2012,1,0,30,0.6931471806,개포주공4단지
141,3.939443601,9,11.26447693,2.197224577,1982,24,293,2.867898902,2012,2,0,30,0.6931471806,개포주공4단지
142,3.773909703,15,11.07907631,2.079441542,1982,24,293,2.708050201,2012,2,0,30,0.6931471806,개포주공4단지
184,4.432838563,6,11.42410518,2.708050201,1983,24,293,3.346389145,2012,1,0,29,0,개포주공5단지
185,4.320815904,28,11.26447693,2.564949357,1983,24,293,3.238678452,2012,1,0,29,0,개포주공5단지
187,4.006969483,15,10.96821553,2.890371758,1983,24,293,2.93385687,2012,2,0,29,0,개포주공5단지
188,4.130194215,23,11.08215793,2.890371758,1983,24,293,3.054001182,2012,2,0,29,0,개포주공5단지
204,4.304335327,10,11.22658915,2.944438979,1983,24,293,3.222867846,2012,1,0,29,0,개포주공6단지
