index,번지,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,구,동,평,계약년,계약월,평형
807176,658-1,개포6차우성아파트1동~8동,79.97,202204,12,200000,4,1987,언주로 3,강남구,개포동,26.4,2022,4,20평대
807177,658-1,개포6차우성아파트1동~8동,79.97,202204,21,201000,2,1987,언주로 3,강남구,개포동,26.4,2022,4,20평대
807178,658-1,개포6차우성아파트1동~8동,79.97,202205,27,210000,2,1987,언주로 3,강남구,개포동,26.4,2022,5,20평대
807188,1282,개포래미안포레스트,102.32,202204,1,317000,13,2020,개포로 264,강남구,개포동,33.8,2022,4,30평대
807189,1282,개포래미안포레스트,136.06,202205,2,381000,17,2020,개포로 264,강남구,개포동,44.9,2022,5,40평대
807190,1282,개포래미안포레스트,59.92,202205,12,210000,5,2020,개포로 264,강남구,개포동,19.8,2022,5,10평대
807191,1282,개포래미안포레스트,59.92,202205,26,206000,6,2020,개포로 264,강남구,개포동,19.8,2022,5,10평대
807192,1282,개포래미안포레스트,59.92,202206,17,209000,10,2020,개포로 264,강남구,개포동,19.8,2022,6,10평대
807193,12-2,개포자이(12-2),168.42,202202,7,219000,2,2004,개포로109길 69,강남구,개포동,55.6,2022,2,50평이상
807194,12-2,개포자이(12-2),170.32,202207,27,244000,11,2004,개포로109길 69,강남구,개포동,56.2,2022,7,50평이상
807197,185,개포주공6단지,83.21,202201,15,231000,8,1983,개포로 516,강남구,개포동,27.5,2022,1,20평대
807198,185,개포주공6단지,73.02,202203,18,223000,5,1983,개포로 516,강남구,개포동,24.1,2022,3,20평대
807199,185,개포주공7단지,53.46,202203,17,168000,4,1983,개포로 516,강남구,개포동,17.6,2022,3,10평대
807200,185,개포주공7단지,73.26,202203,18,224000,6,1983,개포로 516,강남구,개포동,24.2,2022,3,20평대
807201,649,경남1,123.28,202203,8,256000,4,1984,언주로 110,강남구,개포동,40.7,2022,3,40평대
807203,649,경남2차,186.16,202204,19,303000,8,1984,언주로 110,강남구,개포동,61.4,2022,4,50평이상
807204,1167,그린빌리지,197.91,202202,11,240000,4,1996,논현로4길 28,강남구,개포동,65.3,2022,2,50평이상
807214,138,디에이치아너힐즈,131.3226,202202,22,352000,8,2019,삼성로 11,강남구,개포동,43.3,2022,2,40평대
807215,138,디에이치아너힐즈,76.1709,202204,8,264000,23,2019,삼성로 11,강남구,개포동,25.1,2022,4,20평대
807216,138,디에이치아너힐즈,59.8732,202205,11,216000,28,2019,삼성로 11,강남구,개포동,19.8,2022,5,10평대
807217,138,디에이치아너힐즈,59.7479,202205,14,208000,3,2019,삼성로 11,강남구,개포동,19.7,2022,5,10평대
807224,1280,래미안블레스티지,84.943,202201,15,267000,7,2019,선릉로 8,강남구,개포동,28.0,2022,1,20평대
807225,1280,래미안블레스티지,59.888,202204,16,206000,1,2019,선릉로 8,강남구,개포동,19.8,2022,4,10평대
807226,1280,래미안블레스티지,59.967,202205,27,214000,22,2019,선릉로 8,강남구,개포동,19.8,2022,5,10평대
807227,1280,래미안블레스티지,99.991,202206,10,330000,32,2019,선릉로 8,강남구,개포동,33.0,2022,6,30평대
807228,1280,래미안블레스티지,59.967,202206,28,210000,5,2019,선릉로 8,강남구,개포동,19.8,2022,6,10평대
807229,1280,래미안블레스티지,59.888,202207,11,216000,7,2019,선릉로 8,강남구,개포동,19.8,2022,7,10평대
807230,1280,래미안블레스티지,99.991,202207,11,332000,31,2019,선릉로 8,강남구,개포동,33.0,2022,7,30평대
807234,12,삼익대청아파트,51.12,202203,26,146000,2,1992,개포로109길 21,강남구,개포동,16.9,2022,3,10평대
807235,12,삼익대청아파트,39.53,202208,8,139000,12,1992,개포로109길 21,강남구,개포동,13.0,2022,8,10평대
807236,1164-12,새롬(1164-12),73.5,202207,15,110000,6,2000,논현로2길 34,강남구,개포동,24.3,2022,7,20평대
807242,12,성원대치2단지아파트,33.18,202201,8,108000,7,1992,개포로109길 9,강남구,개포동,11.0,2022,1,10평대
807243,12,성원대치2단지아파트,33.18,202201,11,107000,5,1992,개포로109길 9,강남구,개포동,11.0,2022,1,10평대
807244,12,성원대치2단지아파트,33.18,202201,25,109000,8,1992,개포로109길 9,강남구,개포동,11.0,2022,1,10평대
807245,12,성원대치2단지아파트,33.18,202203,18,108000,7,1992,개포로109길 9,강남구,개포동,11.0,2022,3,10평대
807246,12,성원대치2단지아파트,33.18,202203,27,109000,12,1992,개포로109길 9,강남구,개포동,11.0,2022,3,10평대
807247,12,성원대치2단지아파트,39.53,202204,7,126000,8,1992,개포로109길 9,강남구,개포동,13.0,2022,4,10평대
807248,12,성원대치2단지아파트,33.18,202204,18,109000,9,1992,개포로109길 9,강남구,개포동,11.0,2022,4,10평대
807249,12,성원대치2단지아파트,33.18,202206,1,108000,15,1992,개포로109길 9,강남구,개포동,11.0,2022,6,10평대
807250,12,성원대치2단지아파트,33.18,202206,30,111000,4,1992,개포로109길 9,강남구,개포동,11.0,2022,6,10평대
807251,12,성원대치2단지아파트,49.86,202207,4,154000,8,1992,개포로109길 9,강남구,개포동,16.5,2022,7,10평대
807252,12,성원대치2단지아파트,39.53,202207,9,137000,6,1992,개포로109길 9,강남구,개포동,13.0,2022,7,10평대
807255,179,우성8,79.61,202204,27,202000,6,1987,개포로 411,강남구,개포동,26.3,2022,4,20평대
807257,653,현대1차101동~106동,95.4,202201,5,199000,2,1984,개포로 303,강남구,개포동,31.5,2022,1,30평대
807259,654,현대2,84.81,202201,15,190000,8,1986,언주로 107,강남구,개포동,28.0,2022,1,20평대
807260,654,현대2,84.81,202203,30,190000,7,1986,언주로 107,강남구,개포동,28.0,2022,3,20평대
807261,654,현대2,131.83,202204,21,288000,3,1986,언주로 107,강남구,개포동,43.5,2022,4,40평대
807263,195-1,e-편한세상,129.8748,202204,5,181000,10,2005,봉은사로11길 12,강남구,논현동,42.9,2022,4,40평대
807267,196,거평프리젠,32.835,202201,15,61000,6,1996,강남대로112길 41,강남구,논현동,10.8,2022,1,10평대
807268,196,거평프리젠,39.035,202205,27,60000,7,1996,강남대로112길 41,강남구,논현동,12.9,2022,5,10평대
807269,196,거평프리젠,30.215,202205,30,53000,11,1996,강남대로112길 41,강남구,논현동,10.0,2022,5,10평이하
807270,268-12,그랑디오스,132.96,202201,8,159000,5,2004,봉은사로51길 18,강남구,논현동,43.9,2022,1,40평대
807271,268-12,그랑디오스,132.96,202201,8,159000,5,2004,봉은사로51길 18,강남구,논현동,43.9,2022,1,40평대
807272,205-2,논현동한화꿈에그린,67.671,202205,26,77000,2,2005,논현로111길 39,강남구,논현동,22.3,2022,5,20평대
807274,225-6,논현아이파크,47.46,202202,23,105000,7,2020,언주로 615,강남구,논현동,15.7,2022,2,10평대
807275,118-8,더원센트럴,26.96,202205,18,44000,5,2018,학동로53길 3-8,강남구,논현동,8.9,2022,5,10평이하
807276,275,동부센트레빌,84.9875,202204,26,162000,19,2003,언주로116길 6,강남구,논현동,28.0,2022,4,20평대
807277,275,동부센트레빌,84.9875,202206,11,164000,8,2003,언주로116길 6,강남구,논현동,28.0,2022,6,20평대
807278,245,동양파라곤,157.41,202201,18,223000,7,2004,언주로130길 30,강남구,논현동,52.0,2022,1,50평이상
807279,245,동양파라곤,160.33,202203,21,221000,14,2004,언주로130길 30,강남구,논현동,52.9,2022,3,50평이상
807280,245,동양파라곤,180.07,202204,21,256000,5,2004,언주로130길 30,강남구,논현동,59.4,2022,4,50평이상
807281,245,동양파라곤,180.07,202204,22,258000,11,2004,언주로130길 30,강남구,논현동,59.4,2022,4,50평이상
807282,245,동양파라곤,157.41,202205,24,255000,4,2004,언주로130길 30,강남구,논현동,52.0,2022,5,50평이상
807284,105,동현아파트1~6,84.92,202202,18,182000,10,1985,언주로146길 18,강남구,논현동,28.0,2022,2,20평대
807285,105,동현아파트1~6,120.58,202203,31,197000,8,1985,언주로146길 18,강남구,논현동,39.8,2022,3,30평대
807286,105,동현아파트1~6,119.67,202204,23,189000,11,1985,언주로146길 18,강남구,논현동,39.5,2022,4,30평대
807287,252-1,두산위브1단지,110.778,202207,18,162000,9,2004,학동로46길 38,강남구,논현동,36.6,2022,7,30평대
807289,258,두산위브2단지,106.829,202204,16,154000,9,2004,언주로122길 25,강남구,논현동,35.3,2022,4,30평대
807291,114-23,로체샤르캐슬,106.59,202205,23,163000,4,2009,언주로136길 16,강남구,논현동,35.2,2022,5,30평대
