"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20120101 ~ 20120831"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"서울특별시 강남구 개포동","655-2","0655","0002","개포2차현대아파트(220)","77.75","201205","1","66,000","4","1988","언주로 103","","-","-"
"서울특별시 강남구 개포동","655-2","0655","0002","개포2차현대아파트(220)","77.75","201207","9","58,000","2","1988","언주로 103","","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","201204","13","85,000","6","1984","개포로 307","","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이(12-2)","134.3","201205","8","119,500","14","2004","개포로109길 69","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201201","9","77,500","1","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201201","9","67,500","1","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201201","11","78,000","5","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201201","13","68,000","5","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","53.63","201201","14","89,000","5","1982","선릉로 7","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201201","19","67,500","5","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201201","26","90,000","5","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201201","31","80,000","2","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201202","1","80,000","4","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201202","2","90,000","1","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201202","2","68,000","4","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201202","5","90,000","3","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201202","6","66,000","4","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201202","7","66,400","2","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.64","201202","9","59,000","5","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","49.56","201202","9","83,500","5","1982","선릉로 7","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201202","10","66,000","5","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201202","10","79,500","4","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201202","13","90,000","5","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201202","16","66,000","3","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201202","20","65,500","1","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201202","24","65,100","3","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","56.57","201202","24","92,000","1","1982","선릉로 7","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201202","24","76,000","5","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201202","24","76,400","2","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","56.57","201203","2","90,000","3","1982","선릉로 7","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","56.57","201203","3","92,300","3","1982","선릉로 7","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201203","5","89,500","3","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201203","6","89,500","4","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201203","7","65,000","3","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","49.56","201203","9","78,000","3","1982","선릉로 7","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201203","9","89,500","5","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.64","201203","10","55,000","3","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201203","12","75,500","2","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201203","12","64,500","5","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.64","201203","13","54,800","4","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.64","201203","14","54,500","3","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201203","17","75,000","2","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201203","21","64,800","4","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201203","21","90,000","3","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201203","23","88,000","1","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.87","201203","27","55,000","4","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201203","31","88,000","4","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201204","4","60,000","1","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201204","4","65,000","5","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201204","6","88,000","1","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201204","7","73,000","1","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201204","7","62,000","4","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","61.57","201204","10","113,200","2","1982","선릉로 7","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201204","11","88,000","1","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.44","201204","12","54,900","4","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201204","13","75,000","5","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201204","13","89,000","5","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201204","13","63,000","3","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201204","13","88,000","2","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201204","14","75,000","1","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201204","15","75,500","3","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201204","16","63,800","5","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201204","16","63,000","3","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201204","16","76,000","5","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201204","17","89,500","3","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201204","18","77,000","2","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.87","201204","18","57,000","5","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201204","21","77,500","3","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201204","23","67,000","3","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201204","24","90,000","4","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201204","24","66,700","3","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201204","26","80,000","4","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201205","1","9,500","2","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201205","2","94,500","3","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201205","2","80,000","5","1982","개포로 ","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.64","201205","4","59,500","3","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","56.57","201205","5","100,000","1","1982","선릉로 7","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201205","7","68,000","3","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.64","201205","8","60,000","4","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","56.57","201205","8","96,000","4","1982","선릉로 7","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201205","15","64,000","1","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.87","201205","17","56,000","2","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201205","17","65,700","1","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201205","21","64,500","5","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","45.26","201205","22","65,000","1","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","53.63","201205","29","82,000","4","1982","선릉로 7","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.64","201205","29","56,000","2","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201205","31","63,700","2","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201206","1","64,000","4","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201206","2","75,500","4","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","56.57","201206","9","90,000","5","1982","선릉로 7","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201206","10","63,000","3","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.64","201206","12","52,000","4","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201206","16","60,000","1","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","42.55","201206","18","60,000","4","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201206","18","70,500","5","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.64","201206","20","52,000","4","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201206","22","60,500","1","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201206","26","69,500","4","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.64","201206","28","70,000","2","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","35.44","201207","10","50,500","4","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201207","11","71,000","5","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","58.08","201207","24","86,000","3","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201207","27","69,000","4","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201208","7","68,000","2","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","50.38","201208","9","70,000","2","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","49.56","201208","11","72,000","4","1982","선릉로 7","","-","-"
"서울특별시 강남구 개포동","141","0141","0000","개포주공1단지","41.98","201208","11","57,500","1","1982","개포로 310","","-","-"
"서울특별시 강남구 개포동","138","0138","0000","개포주공3단지","35.87","201201","17","59,000","1","1982","삼성로 11","","-","-"
"서울특별시 강남구 개포동","138","0138","0000","개포주공3단지","35.87","201201","26","59,000","5","1982","삼성로 11","","-","-"
"서울특별시 강남구 개포동","138","0138","0000","개포주공3단지","50.67","201201","27","90,000","3","1982","삼성로 11","","-","-"
"서울특별시 강남구 개포동","138","0138","0000","개포주공3단지","35.87","201202","2","58,000","1","1982","삼성로 11","","-","-"
"서울특별시 강남구 개포동","138","0138","0000","개포주공3단지","35.87","201202","7","57,800","1","1982","삼성로 11","","-","-"
"서울특별시 강남구 개포동","138","0138","0000","개포주공3단지","35.64","201202","23","55,000","5","1982","삼성로 11","","-","-"
"서울특별시 강남구 개포동","138","0138","0000","개포주공3단지","35.87","201202","24","55,100","1","1982","삼성로 11","","-","-"
"서울특별시 강남구 개포동","138","0138","0000","개포주공3단지","35.87","201202","27","55,500","3","1982","삼성로 11","","-","-"
"서울특별시 강남구 개포동","138","0138","0000","개포주공3단지","35.87","201203","2","54,500","2","1982","삼성로 11","","-","-"
"서울특별시 강남구 개포동","138","0138","0000","개포주공3단지","41.99","201203","3","68,000","2","1982","삼성로 11","","-","-"
"서울특별시 강남구 개포동","138","0138","0000","개포주공3단지","35.64","201203","3","54,800","5","1982","삼성로 11","","-","-"
"서울특별시 강남구 개포동","138","0138","0000","개포주공3단지","35.64","201203","10","54,750","2","1982","삼성로 11","","-","-"
"서울특별시 강남구 개포동","138","0138","0000","개포주공3단지","35.64","201203","28","54,000","3","1982","삼성로 11","","-","-"
"서울특별시 강남구 개포동","138","0138","0000","개포주공3단지","35.64","201203","28","54,000","2","1982","삼성로 11","","-","-"
"서울특별시 강남구 개포동","138","0138","0000","개포주공3단지","41.99","201204","7","67,500","3","1982","삼성로 11","","-","-"
"서울특별시 강남구 개포동","138","0138","0000","개포주공3단지","35.87","201204","11","53,500","1","1982","삼성로 11","","-","-"
"서울특별시 강남구 개포동","138","0138","0000","개포주공3단지","42.55","201204","25","69,000","1","1982","삼성로 11","","-","-"
"서울특별시 강남구 개포동","138","0138","0000","개포주공3단지","35.64","201204","25","55,000","4","1982","삼성로 11","","-","-"
"서울특별시 강남구 개포동","138","0138","0000","개포주공3단지","35.87","201205","17","57,500","3","1982","삼성로 11","","-","-"
"서울특별시 강남구 개포동","138","0138","0000","개포주공3단지","35.64","201205","18","57,500","4","1982","삼성로 11","","-","-"
"서울특별시 강남구 개포동","138","0138","0000","개포주공3단지","35.64","201205","19","57,000","1","1982","삼성로 11","","-","-"
"서울특별시 강남구 개포동","138","0138","0000","개포주공3단지","41.99","201205","20","70,000","5","1982","삼성로 11","","-","-"
