,경기번호,팀명,1SET,2SET,3SET,4SET,5SET,TOTAL,경기시간_1SET,경기시간_2SET,경기시간_3SET,경기시간_4SET,경기시간_5SET
0,1,현대캐피탈,21,25,25,33,0,104,27,30,30,37,0
1,1,대한항공,25,23,21,31,0,100,27,30,30,37,0
2,2,KB손해보험,18,25,25,23,15,106,23,30,23,27,17
3,2,삼성화재,25,22,18,25,13,103,23,30,23,27,17
4,3,OK저축은행,21,25,19,25,15,105,31,28,27,25,16
5,3,한국전력,25,21,25,18,12,101,31,28,27,25,16
6,4,KB손해보험,31,25,25,0,0,81,37,25,23,0,0
7,4,현대캐피탈,29,18,14,0,0,61,37,25,23,0,0
8,5,대한항공,22,25,25,25,0,97,28,24,26,27,0
9,5,우리카드,25,16,16,19,0,76,28,24,26,27,0
10,6,삼성화재,25,24,20,17,0,86,22,29,28,23,0
11,6,OK저축은행,19,26,25,25,0,95,22,29,28,23,0
12,7,KB손해보험,19,25,23,17,0,84,28,26,28,28,0
13,7,한국전력,25,20,25,25,0,95,28,26,28,28,0
14,8,우리카드,22,25,26,22,0,95,28,30,41,30,0
15,8,현대캐피탈,25,22,28,25,0,100,28,30,41,30,0
16,9,OK저축은행,22,23,25,22,0,92,26,27,28,29,0
17,9,대한항공,25,25,22,25,0,97,26,27,28,29,0
18,10,우리카드,20,25,29,21,12,107,28,25,32,28,17
19,10,삼성화재,25,21,27,25,15,113,28,25,32,28,17
20,11,한국전력,25,25,25,0,0,75,26,28,29,0,0
21,11,현대캐피탈,20,23,21,0,0,64,26,28,29,0,0
22,12,우리카드,25,19,25,23,16,108,25,24,22,29,19
23,12,OK저축은행,21,25,15,25,14,100,25,24,22,29,19
24,13,대한항공,22,25,23,0,0,70,26,31,32,0,0
25,13,KB손해보험,25,27,25,0,0,77,26,31,32,0,0
26,14,한국전력,14,17,21,0,0,52,21,26,31,0,0
27,14,삼성화재,25,25,25,0,0,75,21,26,31,0,0
28,15,현대캐피탈,25,22,25,25,0,97,27,25,26,27,0
29,15,OK저축은행,21,25,19,19,0,84,27,25,26,27,0
30,16,우리카드,37,26,25,31,0,119,42,29,31,35,0
31,16,KB손해보험,39,24,23,29,0,115,42,29,31,35,0
32,17,한국전력,35,20,26,18,13,112,45,32,33,27,21
33,17,대한항공,33,25,24,25,15,122,45,32,33,27,21
34,18,삼성화재,31,25,24,25,0,105,37,30,31,25,0
35,18,현대캐피탈,29,23,26,17,0,95,37,30,31,25,0
36,19,OK저축은행,26,17,25,19,12,99,28,23,25,26,17
37,19,KB손해보험,24,25,14,25,15,103,28,23,25,26,17
38,20,한국전력,23,25,33,25,0,106,28,30,39,25,0
39,20,우리카드,25,20,31,16,0,92,28,30,39,25,0
40,21,대한항공,19,22,20,0,0,61,25,31,26,0,0
41,21,삼성화재,25,25,25,0,0,75,25,31,26,0,0
42,22,KB손해보험,25,25,26,25,9,110,24,31,33,29,15
43,22,OK저축은행,19,23,28,27,15,112,24,31,33,29,15
44,23,우리카드,25,25,28,0,0,78,26,29,35,0,0
45,23,한국전력,21,23,26,0,0,70,26,29,35,0,0
46,24,삼성화재,25,25,23,23,15,111,25,30,29,30,15
47,24,대한항공,20,20,25,25,10,100,25,30,29,30,15
48,25,OK저축은행,25,15,22,21,0,83,25,22,27,28,0
49,25,현대캐피탈,20,25,25,25,0,95,25,22,27,28,0
50,26,우리카드,18,25,17,28,0,88,25,28,24,35,0
51,26,KB손해보험,25,20,25,30,0,100,25,28,24,35,0
52,27,대한항공,25,25,25,0,0,75,27,29,19,0,0
53,27,한국전력,19,23,10,0,0,52,27,29,19,0,0
54,28,현대캐피탈,18,23,23,0,0,64,25,29,27,0,0
55,28,삼성화재,25,25,25,0,0,75,25,29,27,0,0
56,29,OK저축은행,25,19,26,20,0,90,26,27,36,25,0
57,29,우리카드,21,25,28,25,0,99,26,27,36,25,0
58,30,대한항공,22,23,25,25,13,108,27,29,30,30,19
59,30,KB손해보험,25,25,20,22,15,107,27,29,30,30,19
60,31,삼성화재,33,25,25,0,0,83,36,26,27,0,0
61,31,한국전력,31,20,19,0,0,70,36,26,27,0,0
62,32,우리카드,18,25,21,15,0,79,23,27,24,22,0
63,32,현대캐피탈,25,22,25,25,0,97,23,27,24,22,0
64,33,대한항공,21,31,27,21,0,100,25,41,31,28,0
65,33,OK저축은행,25,33,25,25,0,108,25,41,31,28,0
66,34,KB손해보험,25,23,25,22,13,108,25,30,26,28,18
67,34,삼성화재,21,25,20,25,15,106,25,30,26,28,18
68,35,현대캐피탈,25,25,25,0,0,75,22,24,28,0,0
69,35,한국전력,15,18,22,0,0,55,22,24,28,0,0
70,36,우리카드,26,24,20,0,0,70,30,34,28,0,0
71,36,대한항공,28,26,25,0,0,79,30,34,28,0,0
72,37,삼성화재,25,25,25,0,0,75,24,27,22,0,0
73,37,OK저축은행,17,23,17,0,0,57,24,27,22,0,0
74,38,KB손해보험,20,25,22,20,0,87,27,25,30,30,0
75,38,한국전력,25,19,25,25,0,94,27,25,30,30,0
76,39,대한항공,25,17,24,25,15,106,26,23,31,28,18
77,39,현대캐피탈,20,25,26,22,12,105,26,23,31,28,18
78,40,삼성화재,25,23,25,25,0,98,24,28,24,29,0
79,40,우리카드,20,25,17,23,0,85,24,28,24,29,0
80,41,한국전력,25,25,27,0,0,77,24,24,29,0,0
81,41,OK저축은행,21,21,25,0,0,67,24,24,29,0,0
82,42,현대캐피탈,25,25,25,0,0,75,28,25,25,0,0
83,42,KB손해보험,22,21,16,0,0,59,28,25,25,0,0
84,43,대한항공,15,25,19,25,20,104,23,31,24,26,24
85,43,삼성화재,25,23,25,18,22,113,23,31,24,26,24
86,44,우리카드,21,23,25,25,20,114,27,28,29,28,23
87,44,한국전력,25,25,23,23,18,114,27,28,29,28,23
88,45,OK저축은행,25,25,21,18,13,102,28,29,26,25,19
89,45,KB손해보험,22,22,25,25,15,109,28,29,26,25,19
90,46,삼성화재,20,22,19,0,0,61,24,27,25,0,0
91,46,현대캐피탈,25,25,25,0,0,75,24,27,25,0,0
92,47,한국전력,25,19,21,21,0,86,33,28,29,27,0
93,47,대한항공,23,25,25,25,0,98,33,28,29,27,0
94,48,KB손해보험,25,25,25,0,0,75,26,32,25,0,0
95,48,우리카드,23,22,17,0,0,62,26,32,25,0,0
96,49,현대캐피탈,25,25,21,25,0,96,26,25,27,25,0
97,49,OK저축은행,21,21,25,21,0,88,26,25,27,25,0
98,50,삼성화재,19,28,20,23,0,90,26,32,27,30,0
99,50,한국전력,25,26,25,25,0,101,26,32,27,30,0
100,51,KB손해보험,25,19,21,25,9,99,27,25,27,28,16
101,51,대한항공,20,25,25,21,15,106,27,25,27,28,16
102,52,OK저축은행,13,23,19,0,0,55,23,27,23,0,0
103,52,우리카드,25,25,25,0,0,75,23,27,23,0,0
104,53,한국전력,15,19,18,0,0,52,25,25,24,0,0
105,53,현대캐피탈,25,25,25,0,0,75,25,25,24,0,0
106,54,삼성화재,19,25,25,25,0,94,26,27,24,23,0
107,54,KB손해보험,25,19,16,16,0,76,26,27,24,23,0
108,55,OK저축은행,31,19,25,17,17,109,35,25,25,26,22
109,55,대한항공,29,25,20,25,19,118,35,25,25,26,22
110,56,현대캐피탈,21,29,25,22,13,110,28,36,26,29,20
111,56,우리카드,25,27,20,25,15,112,28,36,26,29,20
112,57,한국전력,17,26,29,25,0,97,25,35,43,35,0
113,57,KB손해보험,25,24,27,23,0,99,25,35,43,35,0
114,58,OK저축은행,31,21,19,0,0,71,39,25,30,0,0
115,58,삼성화재,33,25,25,0,0,83,39,25,30,0,0
116,59,대한항공,25,25,22,22,15,109,25,27,30,29,12
117,59,우리카드,18,23,25,25,6,97,25,27,30,29,12
118,60,KB손해보험,25,25,19,20,16,105,32,28,25,29,22
119,60,현대캐피탈,23,19,25,25,14,106,32,28,25,29,22
120,61,OK저축은행,32,19,25,14,0,90,39,27,28,24,0
121,61,한국전력,34,25,21,25,0,105,39,27,28,24,0
122,62,삼성화재,25,21,15,25,15,101,25,27,24,29,17
123,62,우리카드,21,25,25,20,11,102,25,27,24,29,17
124,63,현대캐피탈,25,25,25,0,0,75,27,28,27,0,0
125,63,대한항공,21,17,21,0,0,59,27,28,27,0,0
126,64,KB손해보험,32,25,19,23,0,99,36,23,26,28,0
127,64,OK저축은행,34,15,25,25,0,99,36,23,26,28,0
128,65,한국전력,14,25,20,25,17,101,21,24,31,30,22
129,65,우리카드,25,15,25,22,15,102,21,24,31,30,22
130,66,삼성화재,25,25,16,19,13,98,27,30,26,24,20
131,66,대한항공,23,22,25,25,15,110,27,30,26,24,20
132,67,OK저축은행,14,20,23,0,0,57,21,27,29,0,0
133,67,현대캐피탈,25,25,25,0,0,75,21,27,29,0,0
134,68,KB손해보험,18,25,25,25,0,93,23,28,28,31,0
135,68,우리카드,25,21,21,23,0,90,23,28,28,31,0
136,69,대한항공,21,23,24,0,0,68,26,28,31,0,0
137,69,한국전력,25,25,26,0,0,76,26,28,31,0,0
138,70,현대캐피탈,22,25,25,25,0,97,25,27,27,30,0
139,70,삼성화재,25,21,19,23,0,88,25,27,27,30,0
140,71,우리카드,35,26,25,0,0,86,38,31,24,0,0
141,71,OK저축은행,33,24,18,0,0,75,38,31,24,0,0
142,72,KB손해보험,25,25,17,22,17,106,26,28,27,29,25
143,72,대한항공,21,23,25,25,19,113,26,28,27,29,25
144,73,한국전력,25,23,25,25,15,113,26,30,32,30,17
145,73,삼성화재,21,25,27,20,11,104,26,30,32,30,17
146,74,현대캐피탈,25,25,25,0,0,75,27,25,28,0,0
147,74,우리카드,23,22,19,0,0,64,27,25,28,0,0
148,75,대한항공,23,25,25,25,0,98,28,28,28,26,0
149,75,OK저축은행,25,20,19,20,0,84,28,28,28,26,0
150,76,삼성화재,16,25,25,25,0,91,22,26,30,29,0
151,76,KB손해보험,25,18,23,22,0,88,22,26,30,29,0
152,77,현대캐피탈,25,25,22,25,0,97,25,27,26,27,0
153,77,한국전력,19,20,25,18,0,82,25,27,26,27,0
154,78,우리카드,25,25,25,0,0,75,29,25,30,0,0
155,78,대한항공,21,18,23,0,0,62,29,25,30,0,0
156,79,OK저축은행,25,21,25,21,10,102,30,25,28,25,15
157,79,삼성화재,23,25,23,25,15,111,30,25,28,25,15
158,80,KB손해보험,35,25,25,0,0,85,39,29,23,0,0
159,80,한국전력,33,23,14,0,0,70,39,29,23,0,0
160,81,대한항공,28,25,19,22,0,94,34,25,27,29,0
161,81,현대캐피탈,30,15,25,25,0,95,34,25,27,29,0
162,82,우리카드,25,26,16,21,12,100,25,28,23,31,17
163,82,삼성화재,20,24,25,25,15,109,25,28,23,31,17
164,83,OK저축은행,18,18,23,0,0,59,24,23,29,0,0
165,83,한국전력,25,25,25,0,0,75,24,23,29,0,0
166,84,현대캐피탈,25,25,25,0,0,75,30,29,25,0,0
