경기번호,팀명,홈_어웨이
1,IBK기업은행,1
1,흥국생명,0
2,KGC인삼공사,1
2,현대건설,0
3,GS칼텍스,0
3,한국도로공사,1
4,IBK기업은행,1
4,현대건설,0
5,KGC인삼공사,0
5,흥국생명,1
6,IBK기업은행,0
6,한국도로공사,1
7,GS칼텍스,0
7,KGC인삼공사,1
8,현대건설,1
8,흥국생명,0
9,GS칼텍스,0
9,현대건설,1
10,KGC인삼공사,1
10,한국도로공사,0
11,GS칼텍스,1
11,IBK기업은행,0
12,한국도로공사,0
12,흥국생명,1
13,GS칼텍스,1
13,흥국생명,0
14,한국도로공사,1
14,현대건설,0
15,IBK기업은행,1
15,KGC인삼공사,0
16,GS칼텍스,0
16,현대건설,1
17,한국도로공사,1
17,흥국생명,0
18,IBK기업은행,0
18,KGC인삼공사,1
19,GS칼텍스,1
19,흥국생명,0
20,한국도로공사,0
20,현대건설,1
21,KGC인삼공사,1
21,흥국생명,0
22,GS칼텍스,0
22,IBK기업은행,1
23,KGC인삼공사,0
23,한국도로공사,1
24,현대건설,1
24,흥국생명,0
25,GS칼텍스,1
25,한국도로공사,0
26,IBK기업은행,0
26,현대건설,1
27,IBK기업은행,0
27,흥국생명,1
28,KGC인삼공사,0
28,현대건설,1
29,IBK기업은행,1
29,한국도로공사,0
30,GS칼텍스,1
30,KGC인삼공사,0
31,IBK기업은행,1
31,흥국생명,0
32,KGC인삼공사,0
32,한국도로공사,1
33,IBK기업은행,0
33,현대건설,1
34,GS칼텍스,0
34,한국도로공사,1
35,GS칼텍스,1
35,현대건설,0
36,KGC인삼공사,0
36,흥국생명,1
37,IBK기업은행,1
37,한국도로공사,0
38,GS칼텍스,1
38,KGC인삼공사,0
39,현대건설,0
39,흥국생명,1
40,GS칼텍스,0
40,IBK기업은행,1
41,한국도로공사,0
41,흥국생명,1
42,KGC인삼공사,1
42,현대건설,0
43,한국도로공사,0
43,현대건설,1
44,IBK기업은행,0
44,KGC인삼공사,1
45,GS칼텍스,0
45,흥국생명,1
46,한국도로공사,1
46,현대건설,0
47,GS칼텍스,0
47,KGC인삼공사,1
48,한국도로공사,1
48,흥국생명,0
49,IBK기업은행,1
49,현대건설,0
50,GS칼텍스,0
50,흥국생명,1
51,GS칼텍스,1
51,IBK기업은행,0
52,KGC인삼공사,0
52,현대건설,1
53,GS칼텍스,1
53,한국도로공사,0
54,IBK기업은행,1
54,KGC인삼공사,0
55,현대건설,1
55,흥국생명,0
56,KGC인삼공사,1
56,한국도로공사,0
57,IBK기업은행,0
57,흥국생명,1
58,GS칼텍스,1
58,현대건설,0
59,IBK기업은행,0
59,한국도로공사,1
60,KGC인삼공사,1
60,흥국생명,0
61,한국도로공사,1
61,현대건설,0
62,IBK기업은행,1
62,흥국생명,0
63,GS칼텍스,1
63,KGC인삼공사,0
64,IBK기업은행,1
64,한국도로공사,0
65,KGC인삼공사,1
65,현대건설,0
66,KGC인삼공사,1
66,흥국생명,0
67,GS칼텍스,1
67,한국도로공사,0
68,IBK기업은행,0
68,현대건설,1
69,GS칼텍스,0
69,흥국생명,1
70,KGC인삼공사,0
70,한국도로공사,1
71,현대건설,0
71,흥국생명,1
72,GS칼텍스,0
72,IBK기업은행,1
73,한국도로공사,0
73,흥국생명,1
74,IBK기업은행,0
74,KGC인삼공사,1
75,GS칼텍스,0
75,현대건설,1
76,IBK기업은행,0
76,한국도로공사,1
77,KGC인삼공사,0
77,흥국생명,1
78,GS칼텍스,1
78,현대건설,0
79,IBK기업은행,0
79,흥국생명,1
80,KGC인삼공사,1
80,한국도로공사,0
81,GS칼텍스,1
81,흥국생명,0
82,IBK기업은행,1
82,현대건설,0
83,한국도로공사,0
83,현대건설,1
84,GS칼텍스,0
84,KGC인삼공사,1
85,한국도로공사,1
85,흥국생명,0
86,KGC인삼공사,0
86,현대건설,1
87,GS칼텍스,1
87,IBK기업은행,0
88,GS칼텍스,0
88,한국도로공사,1
89,IBK기업은행,1
89,KGC인삼공사,0
90,현대건설,0
90,흥국생명,1
91,IBK기업은행,1
91,현대건설,0
92,IBK기업은행,0
92,현대건설,1
93,IBK기업은행,1
93,현대건설,0
94,IBK기업은행,0
94,한국도로공사,1
95,IBK기업은행,0
95,한국도로공사,1
96,IBK기업은행,1
96,한국도로공사,0
97,IBK기업은행,0
97,한국도로공사,1
98,GS칼텍스,1
98,현대건설,0
99,KGC인삼공사,0
99,흥국생명,1
100,IBK기업은행,1
100,현대건설,0
101,GS칼텍스,1
101,흥국생명,0
102,KGC인삼공사,1
102,한국도로공사,0
103,현대건설,0
103,흥국생명,1
104,GS칼텍스,1
104,한국도로공사,0
105,한국도로공사,1
105,현대건설,0
106,GS칼텍스,0
106,KGC인삼공사,1
107,IBK기업은행,0
107,흥국생명,1
108,KGC인삼공사,0
108,현대건설,1
109,GS칼텍스,1
109,IBK기업은행,0
110,한국도로공사,1
110,흥국생명,0
111,IBK기업은행,1
111,KGC인삼공사,0
112,KGC인삼공사,0
112,한국도로공사,1
113,GS칼텍스,1
113,현대건설,0
114,한국도로공사,0
114,현대건설,1
115,GS칼텍스,0
115,흥국생명,1
116,현대건설,1
116,흥국생명,0
117,IBK기업은행,0
117,KGC인삼공사,1
118,IBK기업은행,1
118,한국도로공사,0
119,KGC인삼공사,1
119,흥국생명,0
120,한국도로공사,0
120,흥국생명,1
121,GS칼텍스,0
121,IBK기업은행,1
122,IBK기업은행,0
122,현대건설,1
123,GS칼텍스,1
123,KGC인삼공사,0
124,GS칼텍스,0
124,한국도로공사,1
125,IBK기업은행,1
125,흥국생명,0
126,KGC인삼공사,1
126,현대건설,0
127,GS칼텍스,1
127,흥국생명,0
128,한국도로공사,1
128,현대건설,0
129,KGC인삼공사,0
129,현대건설,1
130,GS칼텍스,1
130,IBK기업은행,0
131,IBK기업은행,0
131,흥국생명,1
132,KGC인삼공사,1
132,한국도로공사,0
133,한국도로공사,1
133,흥국생명,0
134,IBK기업은행,1
134,KGC인삼공사,0
135,현대건설,0
135,흥국생명,1
136,GS칼텍스,0
136,KGC인삼공사,1
137,IBK기업은행,0
137,한국도로공사,1
138,GS칼텍스,0
138,현대건설,1
